Time (s),Magnetic Field x (µT),Magnetic Field y (µT),Magnetic Field z (µT),Absolute field (µT)
0,3.220001221,-6.800003052,12.13999939,14.28243798
0.017370346,2.970001221,-7.830001831,12.47999954,15.02931218
0.037292231,2.720001221,-9.100006104,11.61000061,15.00002106
0.057304077,4.040000916,-7.470001221,13.09000015,15.60354542
0.077319115,3.330001831,-10.05999756,13.48999977,17.15437428
0.097342615,3.270000458,-8.309997559,13.72999954,16.3787011
0.117390654,4.380001068,-7.449996948,14.31999969,16.72570642
0.137392539,4.13999939,-7.990005493,15.86999893,18.24381125
0.157301692,3.340000153,-9.339996338,16.53000069,19.27776064
0.177345423,3.939998627,-10.53999329,17.80999947,21.06682531
0.197384577,5.319999695,-10.41000366,19.64999962,22.86466833
0.217390962,5.459999084,-12.93000793,22.20999908,26.2731946
0.237404846,6.590000153,-14.08000183,23.79999924,28.42735509
0.257413808,7.700000763,-17.02999878,30.04999924,35.38803928
0.282658808,8.63999939,-17.72999573,34.38000107,39.63567599
0.307397115,9.680000305,-19.91000366,37.22999954,43.31493412
0.327419308,10.07999992,-25.21000671,45.72000122,53.17395367
0.347382538,10.82999992,-28.69000244,50.15000153,58.78288689
0.367373461,13.68000031,-29.66999817,53.59999847,62.7726934
0.387403269,15.75,-32.24000549,56.47999954,66.9139059
0.417368846,22.55999947,-36.56999207,60.69999695,74.36939912
0.437394308,24.07999992,-42.18000793,61.24000549,78.16225264
0.4573945,27.37999916,-44.84999084,62.61000061,81.73859681
0.477349692,29.03000069,-48.69000244,63.08000183,84.80886692
0.497354,28.89999962,-53.19999695,61.72999573,86.46410831
0.517383692,37.58000183,-62.97999573,54.54000092,91.39665256
0.538714846,46.83000183,-67.18000031,46.83000183,94.33583934
0.557314654,53.90999985,-70.08999634,36.90999985,95.81880692
0.577349538,64.20999908,-69.16999817,29.62999725,98.92092482
0.597353846,70.76000214,-66.18000031,25.90999985,100.2900715
0.617822923,74.58399963,-63.66500092,20.76199913,100.2350535
0.637324538,77.05200195,-59.19599915,19.38699913,99.08094194
0.657298307,75.72599792,-58.61999512,20.56599998,97.94738866
0.678887461,73.59600067,-59.14300537,22.99900055,97.17623385
0.697380384,69.90799713,-59.33399963,26.9260025,95.56495794
0.717395807,64.89199829,-61.15299988,29.38299942,93.88302025
0.737369307,60.14099884,-60.7440033,36.9280014,93.11525635
0.757382846,50.77999878,-64.31600189,44.27299881,93.14104787
0.777366692,47.27000046,-64.47100067,46.68000031,92.57421509
0.797338807,45.40100098,-66.18399811,48.55099869,93.80176954
0.817351653,46.18299866,-67.37000275,50.13100052,95.83686059
0.837342115,48.8769989,-66.32299805,47.99200058,95.34638541
0.857323769,48.1609993,-69.61699677,46.59799957,96.6301281
0.877395115,48.13100052,-70.12599945,47.23400116,97.28977272
0.897354961,49.43700027,-71.22799683,46.68099976,98.47111387
0.917380846,51.09799957,-69.81700134,46.9469986,98.4349527
0.937334269,50.87400055,-68.58799744,45.07899857,96.56393445
0.957365692,50.15999985,-69.64399719,43.29199982,96.12756721
0.977357346,51.13100052,-68.30899811,42.94200134,95.52232156
0.997313423,51.93799973,-69.45200348,42.0890007,96.39823952
1.017311576,52.95600128,-70.07099915,40.91400146,96.8929229
1.037432846,52.97000122,-70.30799866,40.30500031,96.81698588
1.057387692,52.63100052,-70.60700226,41.48799896,97.34795859
1.077347153,52.82300186,-70.59500122,42.3429985,97.81029212
1.097343384,51.42499924,-71.71600342,44.0870018,98.64775426
1.117355346,50.67699814,-73.01899719,46.42900085,100.2775359
1.137358884,48.92100143,-73.50099945,51.13000107,102.0291052
1.157360922,49.72800064,-72.75499725,54.97000122,103.8646461
1.177338269,49.30699921,-73.53500366,55.63800049,104.5665531
1.197328807,49.73099899,-74.00299835,57.75099945,106.2299109
1.217332961,51.38899994,-73.12799835,61.2480011,108.3505934
1.237411115,54.08499908,-74.26000214,62.1309967,110.9053461
1.257347076,58.47999954,-73.56199646,64.66699982,114.0749689
1.277330653,68.22699738,-72.73200226,63.55200195,118.2527982
1.297359884,75.27500153,-69.90200043,62.45800018,120.2231979
1.317361538,83.01699829,-66.26399994,58.55799866,121.2921222
1.33736173,90.91699982,-61.08399963,54.52999878,122.3547164
1.357361999,102.3349991,-54.88899231,48.85599899,125.9847695
1.377317307,115.0400009,-46.4730072,39.96699905,130.3506932
1.397328153,143.6300049,-24.88400269,10.57699966,146.1528816
1.417303691,157.8809967,-8.841995239,-5.291999817,158.2169247
1.437334999,168.7539978,5.350006104,-23.56200027,170.4749313
1.457372999,176.4040222,22.41499329,-40.43600082,182.3619509
1.477364691,180.7189941,37.12199402,-57.85599899,193.3512708
1.497361191,183.1150208,53.08399963,-71.35399628,203.5691888
1.517388345,176.5450134,74.42298889,-93.12200165,213.022605
1.537431461,173.0890198,79.12498474,-95.82700348,213.0807044
1.557378384,168.802002,77.69300842,-95.22299957,208.8007162
1.577379038,165.0090027,75.31401062,-96.72899628,205.5642719
1.597390153,161.6609955,74.48799133,-98.89099884,203.6226116
1.617450768,159.8699951,73.3400116,-101.3199997,202.9850117
1.647355576,154.3000031,69.57200623,-108.9029999,201.2675294
1.668564037,154.1640015,70.06800842,-109.2399979,201.5178461
1.687386576,151.8999939,67.57600403,-109.1760025,198.8957616
1.707348884,150.5540009,67.72001648,-111.6500015,199.2943317
1.72737323,148.9680023,67.31498718,-113.1829987,198.8294857
1.747391614,147.6820068,65.70899963,-115.8949966,198.8951936
1.767340845,146.625,65.36199951,-117.1269989,198.7204455
1.787318268,146.6569977,65.39500427,-119.5770035,200.2084946
1.80735096,146.6799927,65.88600159,-118.3700027,199.6683325
1.82738346,142.3860016,63.96000671,-121.4079971,197.7487236
1.847361191,143.4880066,67.07798767,-121.2089996,199.448956
1.867310422,140.2949982,63.74200439,-122.0370026,196.567443
1.887328999,140.4589996,63.27400208,-123.5439987,197.4726552
1.90733073,138.4570007,62.05699158,-123.211998,195.4548738
1.927362383,136.6869965,61.38999939,-124.4250031,194.7656243
1.947338576,136.3880005,62.33900452,-122.6210022,193.7104756
1.967361114,135.2570038,63.22900391,-123.5770035,193.8134149
1.987360806,134.3090057,63.89900208,-125.4179993,194.5550463
2.008485076,133.246994,64.81999207,-129.4029999,196.7270423
2.027396268,132.4470062,65.2460022,-129.7059937,196.5270848
2.04739896,132.7599945,68.28501892,-132.8049927,199.8129776
2.067357306,133.5809937,71.82398987,-132.5670013,201.4362858
2.087368114,136.0319977,78.49198914,-136.0420074,207.7814345
2.107352845,137.2649994,80.79499817,-138.4389954,211.0328582
2.127351229,139.6649933,83.4690094,-139.4019928,214.2575587
2.147416806,139.3899994,84.18000793,-143,216.7137413
2.167324691,140.3300018,85.4940033,-144.5399933,218.8459359
2.187353652,142.397995,88.85899353,-144.9759979,221.7907791
2.207375422,144.220993,91.01200867,-146.2709961,224.6732847
2.227441652,145.427002,91.41200256,-146.6170044,225.8355886
2.247361422,145.8849945,91.04100037,-146.9680023,226.20895
2.267364037,145.223999,90.79798889,-149.4060059,227.2805299
2.287332422,146.1009979,91.17900085,-150.3589935,228.6196377
2.30736396,145.8130035,91.69700623,-151.6309967,229.4814418
2.327341075,147.3179932,93.84700012,-151.753006,231.3845833
2.347347306,149.3999939,96.34599304,-154.5769958,235.5779196
2.367388383,151.2149963,97.58299255,-155.8569946,238.0752367
